season,school_mascot,head_coach,first_season,offensive_coordinators,defensive_coordinators,source_title,source_revid
2005,Minnesota Golden Gophers,Glen Mason,1997,Mitch Browning / Tony Petersen,David Lockwood,2005 Minnesota Golden Gophers football team,1338613135
2005,Mississippi State Bulldogs,Sylvester Croom,2004,Woody McCorvey,Ellis Johnson,2005 Mississippi State Bulldogs football team,1337604499
2005,Missouri Tigers,Gary Pinkel,2001,Dave Christensen,Matt Eberflus,2005 Missouri Tigers football team,1332978435
2005,NC State Wolfpack,Chuck Amato,2000,Marc Trestman,Steve Dunlap,2005 NC State Wolfpack football team,1339605113
2005,Navy Midshipmen,Paul Johnson,2002,,Buddy Green,2005 Navy Midshipmen football team,1331025374
2005,Nebraska Cornhuskers,Bill Callahan,2004,Jay Norvell,Kevin Cosgrove,2005 Nebraska Cornhuskers football team,1370159563
2005,Nevada Wolf Pack,Chris Ault,1985,Chris Klenakis,Tim DeRuyter / Barry Sacks,2005 Nevada Wolf Pack football team,1372715811
2005,New Mexico Lobos,Rocky Long,1998,Dan Dodd,Osia Lewis,2005 New Mexico Lobos football team,1330387004
2005,New Mexico State Aggies,Hal Mumme,2005,Gary Goff / Matt Mumme,Woody Widenhofer,2005 New Mexico State Aggies football team,1339605266
2005,North Carolina Tar Heels,John Bunting,2001,Gary Tranquill,Marvin Sanders,2005 North Carolina Tar Heels football team,1371300911
2005,North Texas Mean Green,Darrell Dickey,1998,Ramon Flanigan,Kenny Evans,2005 North Texas Mean Green football team,1340739047
2005,Northern Illinois Huskies,Joe Novak,1996,John Bond,Denny Doornbos,2005 Northern Illinois Huskies football team,1339451000
2005,Northwestern Wildcats,Randy Walker,1999,Mike Dunbar,Greg Colby,2005 Northwestern Wildcats football team,1342955542
2005,Notre Dame Fighting Irish,Charlie Weis,2005,Michael Haywood,Rick Minter,2005 Notre Dame Fighting Irish football team,1368584309
2005,Ohio Bobcats,Frank Solich,2005,Tim Albin,Jim Burrow,2005 Ohio Bobcats football team,1339605308
2005,Ohio State Buckeyes,Jim Tressel,2001,Jim Bollman,Jim Heacock / Luke Fickell,2005 Ohio State Buckeyes football team,1365774433
2005,Oklahoma Sooners,Bob Stoops,1999,Chuck Long / Kevin Wilson,Brent Venables,2005 Oklahoma Sooners football team,1370697091
2005,Oklahoma State Cowboys,Mike Gundy,2005,Larry Fedora,Vance Bedford,2005 Oklahoma State Cowboys football team,1339453542
2005,Ole Miss Rebels,Ed Orgeron,2005,Noel Mazzone,,2005 Ole Miss Rebels football team,1343696441
2005,Oregon Ducks,Mike Bellotti,1995,Gary Crowton,Nick Aliotti,2005 Oregon Ducks football team,1365737540
2005,Oregon State Beavers,Mike Riley,2001,Danny Langsdorf,Mark Banker,2005 Oregon State Beavers football team,1328281740
2005,Penn State Nittany Lions,Joe Paterno,1966,Galen Hall,Tom Bradley,2005 Penn State Nittany Lions football team,1363048201
2005,Pittsburgh Panthers,Dave Wannstedt,2005,Matt Cavanaugh,Paul Rhoads,2005 Pittsburgh Panthers football team,1339291424
2005,Purdue Boilermakers,Joe Tiller,1997,Jim Chaney,Brock Spack,2005 Purdue Boilermakers football team,1358306384
2005,Rice Owls,Ken Hatfield,1994,Scott Wachenheim,Roger Hinshaw,2005 Rice Owls football team,1339605319
2005,Rutgers Scarlet Knights,Greg Schiano,2001,Craig Ver Steeg,,2005 Rutgers Scarlet Knights football team,1334038087
2005,SMU Mustangs,Phil Bennett,2002,Rusty Burns,Jim Gush,2005 SMU Mustangs football team,1339379170
2005,San Diego State Aztecs,Tom Craft,2002,,Thom Kaumeyer,2005 San Diego State Aztecs football team,1374099622
2005,San José State Spartans,Dick Tomey,2005,Ken Margerum,Dave Fipp,2005 San Jose State Spartans football team,1330401090
2005,South Carolina Gamecocks,Steve Spurrier,2005,,Tyrone Nix / John Thompson,2005 South Carolina Gamecocks football team,1373946800
2005,South Florida Bulls,Jim Leavitt,1997,Rod Smith,Rick Kravitz / Wally Burnham,2005 South Florida Bulls football team,1339605349
2005,Southern Miss Golden Eagles,Jeff Bower,1990,Jay Johnson,Jay Hopson,2005 Southern Miss Golden Eagles football team,1339605390
2005,Stanford Cardinal,Walt Harris,2005,,Tom Hayes,2005 Stanford Cardinal football team,1366428491
2005,Syracuse Orange,Greg Robinson,2005,Brian Pariani,,2005 Syracuse Orange football team,1336460776
2005,TCU Horned Frogs,Gary Patterson,2001,Mike Schultz,Dick Bumpas,2005 TCU Horned Frogs football team,1339456482
2005,Temple Owls,Bobby Wallace,1998,Willie J. Slater,Raymond Monica,2005 Temple Owls football team,1339605401
2005,Tennessee Volunteers,Phillip Fulmer,1993,Randy Sanders,John Chavis,2005 Tennessee Volunteers football team,1362309687
2005,Texas A&M Aggies,Dennis Franchione,2003,Les Koenning,Carl Torbush,2005 Texas A&M Aggies football team,1339605423
2005,Texas Longhorns,Mack Brown,1998,Greg Davis,Gene Chizik / Duane Akina,2005 Texas Longhorns football team,1372653005
2005,Texas Tech Red Raiders,Mike Leach,2000,Sonny Dykes / Dana Holgorsen,Lyle Setencich,2005 Texas Tech Red Raiders football team,1369865757
2005,Toledo Rockets,Tom Amstutz,2001,John Shannon,Tim Rose,2005 Toledo Rockets football team,1339605441
2005,Troy Trojans,Larry Blakeney,1991,Mark Fleetwood,Ricky Logo,2005 Troy Trojans football team,1340739076
2005,Tulane Green Wave,Chris Scelfo,1999,Frank Scelfo,Eric Schumann,2005 Tulane Green Wave football team,1339605450
2005,Tulsa Golden Hurricane,Steve Kragthorpe,2003,Charlie Stubbs,Todd Graham,2005 Tulsa Golden Hurricane football team,1339605458
2005,UAB Blazers,Watson Brown,1995,Pat Sullivan,Wayne Bolt,2005 UAB Blazers football team,1339605466
2005,UCF Knights,George O'Leary,2004,Tim Salem,Lance Thompson,2005 UCF Golden Knights football team,1339605474
2005,UCLA Bruins,Karl Dorrell,2003,Tom Cable,Larry Kerr,2005 UCLA Bruins football team,1375109278
2005,UConn Huskies,Randy Edsall,1999,Norries Wilson,Todd Orlando,2005 Connecticut Huskies football team,1339604882
2005,UL Monroe Warhawks,Charlie Weatherbie,2003,Todd Berry,Kim Dameron,2005 Louisiana–Monroe Indians football team,1339604982
2005,UNLV Rebels,Mike Sanford Sr.,2005,Noah Brindise,Vic Shealy,2005 UNLV Rebels football team,1339605501
2005,USC Trojans,Pete Carroll,2001,Lane Kiffin,,2005 USC Trojans football team,1368232386
2005,UTEP Miners,Mike Price,2004,Eric Price,Tim Hundley,2005 UTEP Miners football team,1339605507
2005,Utah State Aggies,Brent Guy,2005,Mike Santiago,Mark Johnson,2005 Utah State Aggies football team,1341086536
2005,Utah Utes,Kyle Whittingham,2005,Andy Ludwig,Gary Andersen,2005 Utah Utes football team,1339605511
2005,Vanderbilt Commodores,Bobby Johnson,2002,Ted Cain,Bruce Fowler,2005 Vanderbilt Commodores football team,1339605524
2005,Virginia Cavaliers,Al Groh,2001,Ron Prince,Al Golden,2005 Virginia Cavaliers football team,1343696642
2005,Virginia Tech Hokies,Frank Beamer,1987,Bryan Stinespring,Bud Foster,2005 Virginia Tech Hokies football team,1368590502
2005,Wake Forest Demon Deacons,Jim Grobe,2001,Steed Lobotzke,Dean Hood,2005 Wake Forest Demon Deacons football team,1336289215
2005,Washington Huskies,Tyrone Willingham,2005,Tim Lappano,Kent Baer,2005 Washington Huskies football team,1339605571
2005,Washington State Cougars,Bill Doba,2003,Mike Levenseller,Robb Akey,2005 Washington State Cougars football team,1339605579
2005,West Virginia Mountaineers,Rich Rodriguez,2001,Calvin Magee,Jeff Casteel,2005 West Virginia Mountaineers football team,1374206947
2005,Western Michigan Broncos,Bill Cubit,2005,George McDonald,,2005 Western Michigan Broncos football team,1339605590
2005,Wisconsin Badgers,Barry Alvarez,1990,Brian White / Paul Chryst,Bret Bielema,2005 Wisconsin Badgers football team,1361470519
2005,Wyoming Cowboys,Joe Glenn,2003,Billy Cockhill,Mike Breske,2005 Wyoming Cowboys football team,1339027519
2006,Air Force Falcons,Fisher DeBerry,1984,,Richard Bell,2006 Air Force Falcons football team,1343195523
2006,Akron Zips,J. D. Brookhart,2004,Joe Moorhead,Jim Fleming,2006 Akron Zips football team,1339377031
2006,Alabama Crimson Tide,Mike Shula,2003,David Rader,Joe Kines,2006 Alabama Crimson Tide football team,1359200190
2006,Arizona State Sun Devils,Dirk Koetter,2001,Roy Wittke,Bill Miller,2006 Arizona State Sun Devils football team,1339605619
2006,Arizona Wildcats,Mike Stoops,2004,Mike Canales,Mark Stoops,2006 Arizona Wildcats football team,1339129245
2006,Arkansas Razorbacks,Houston Nutt,1998,Gus Malzahn,Reggie Herring,2006 Arkansas Razorbacks football team,1339605628
2006,Arkansas State Red Wolves,Steve Roberts,2002,Doug Ruse,Kevin Corless / Jack Curtis,2006 Arkansas State Indians football team,1332278137
2006,Army Black Knights,Bobby Ross,2004,Kevin Ross,John Mumford,2006 Army Black Knights football team,1339605635
2006,Auburn Tigers,Tommy Tuberville,1999,Al Borges,Will Muschamp,2006 Auburn Tigers football team,1374028546
2006,BYU Cougars,Bronco Mendenhall,2005,Robert Anae,,2006 BYU Cougars football team,1339133352
2006,Ball State Cardinals,Brady Hoke,2003,Eddie Faulkner,Mark Smith,2006 Ball State Cardinals football team,1339605640
2006,Baylor Bears,Guy Morriss,2003,Lee Hays,Bill Bradley,2006 Baylor Bears football team,1360398744
2006,Boise State Broncos,Chris Petersen,2006,Bryan Harsin,Justin Wilcox,2006 Boise State Broncos football team,1366591421
2006,Boston College Eagles,Tom O'Brien,1997,Dana Bible,Frank Spaziani,2006 Boston College Eagles football team,1334837550
2006,Bowling Green Falcons,Gregg Brandon,2003,Greg Studrawa,John Lovett,2006 Bowling Green Falcons football team,1339605652
2006,Buffalo Bulls,Turner Gill,2006,Gerald Carr,,2006 Buffalo Bulls football team,1339605657
2006,California Golden Bears,Jeff Tedford,2002,Mike Dunbar,Bob Gregory,2006 California Golden Bears football team,1370558026
2006,Central Michigan Chippewas,Brian Kelly,2004,Jeff Quinn,Joe Tresey,2006 Central Michigan Chippewas football team,1339605662
2006,Cincinnati Bearcats,Mark Dantonio,2004,Don Treadwell,Pat Narduzzi,2006 Cincinnati Bearcats football team,1339605671
2006,Clemson Tigers,Tommy Bowden,1999,Rob Spence,Vic Koenning,2006 Clemson Tigers football team,1366176854
2006,Colorado Buffaloes,Dan Hawkins,2006,Mark Helfrich,Ron Collins,2006 Colorado Buffaloes football team,1335878162
2006,Colorado State Rams,Sonny Lubick,1993,Dan Hammerschmidt,Steve Stanard,2006 Colorado State Rams football team,1330375574
2006,Duke Blue Devils,Ted Roof,2004,Bill O'Brien,Scott Brown / Jerry Azzinaro,2006 Duke Blue Devils football team,1335923463
2006,East Carolina Pirates,Skip Holtz,2005,Steve Shankweiler,Greg Hudson,2006 East Carolina Pirates football team,1339605702
2006,Eastern Michigan Eagles,Jeff Genyk,2004,Howard Feggins,,2006 Eastern Michigan Eagles football team,1339605707
2006,Florida Atlantic Owls,Howard Schnellenberger,2001,Gary Nord,Kirk Hoza,2006 Florida Atlantic Owls football team,1339605715
2006,Florida Gators,Urban Meyer,2005,Dan Mullen,Greg Mattison / Charlie Strong,2006 Florida Gators football team,1375016363
2006,Florida International Panthers,Don Strock,2002,Greg Briner,Kevin Fouquier,2006 FIU Golden Panthers football team,1340739117
2006,Florida State Seminoles,Bobby Bowden,1976,Jeff Bowden,Mickey Andrews,2006 Florida State Seminoles football team,1315150724
2006,Fresno State Bulldogs,Pat Hill,1997,Steve Hagen,Dan Brown,2006 Fresno State Bulldogs football team,1338770601
2006,Georgia Bulldogs,Mark Richt,2001,Neil Callaway,Willie Martinez,2006 Georgia Bulldogs football team,1344431146
2006,Georgia Tech Yellow Jackets,Chan Gailey,,Patrick Nix,Jon Tenuta,2006 Georgia Tech Yellow Jackets football team,1342294276
2006,Hawai'i Rainbow Warriors,June Jones,1999,,Jerry Glanville,2006 Hawaii Warriors football team,1370350785
2006,Houston Cougars,Art Briles,2003,,Alan Weddell,2006 Houston Cougars football team,1368935489
2006,Idaho Vandals,Dennis Erickson,2002,Dan Cozzetto,Jeff Mills,2006 Idaho Vandals football team,1374758124
2006,Illinois Fighting Illini,Ron Zook,2005,Mike Locksley,Vince Okruch,2006 Illinois Fighting Illini football team,1344850879
2006,Indiana Hoosiers,Terry Hoeppner,2005,Bill Lynch,Brian George / Joe Palcic,2006 Indiana Hoosiers football team,1361122897
2006,Iowa Hawkeyes,Kirk Ferentz,1999,Ken O'Keefe,Norm Parker,2006 Iowa Hawkeyes football team,1331020426
2006,Iowa State Cyclones,Dan McCarney,1995,Barney Cotton,John Skladany,2006 Iowa State Cyclones football team,1339455222
2006,Kansas Jayhawks,Mark Mangino,2002,Nick Quartaro,Bill Young,2006 Kansas Jayhawks football team,1367672124
2006,Kansas State Wildcats,Ron Prince,2006,James Franklin,Raheem Morris,2006 Kansas State Wildcats football team,1374532756
2006,Kent State Golden Flashes,Doug Martin,2004,,Pete Rekstis,2006 Kent State Golden Flashes football team,1339289181
2006,Kentucky Wildcats,Rich Brooks,2003,Joker Phillips,Mike Archer,2006 Kentucky Wildcats football team,1366813914
2006,LSU Tigers,Les Miles,2005,Jimbo Fisher,Bo Pelini,2006 LSU Tigers football team,1365508281
2006,Louisiana Ragin' Cajuns,Rickey Bustle,2002,Rob Christophel,Brent Pry,2006 Louisiana–Lafayette Ragin' Cajuns football team,1339605772
2006,Louisiana Tech Bulldogs,Jack Bicknell Jr.,1999,Conroy Hines,George Darlington,2006 Louisiana Tech Bulldogs football team,1341737117
2006,Louisville Cardinals,Bobby Petrino,2003,Paul Petrino,Mike Cassity,2006 Louisville Cardinals football team,1368815105
2006,Marshall Thundering Herd,Mark Snyder,2005,,,2006 Marshall Thundering Herd football team,1339280299
2006,Maryland Terrapins,Ralph Friedgen,2001,,Chris Cosh,2006 Maryland Terrapins football team,1333754576
2006,Memphis Tigers,Tommy West,2001,Randy Fichtner,Joe Lee Dunn,2006 Memphis Tigers football team,1339605785
2006,Miami (OH) RedHawks,Shane Montgomery,2005,,Taver Johnson,2006 Miami RedHawks football team,1363048260
2006,Miami Hurricanes,Larry Coker,2001,Rich Olson,Randy Shannon,2006 Miami Hurricanes football team,1339605796
2006,Michigan State Spartans,John L. Smith,2003,Dave Baldwin,Chris Smeland,2006 Michigan State Spartans football team,1339605814
2006,Michigan Wolverines,Lloyd Carr,1995,Mike DeBord,Ron English,2006 Michigan Wolverines football team,1353064026
2006,Middle Tennessee Blue Raiders,Rick Stockstill,2006,G. A. Mangus,Manny Diaz,2006 Middle Tennessee Blue Raiders football team,1339605825
2006,Minnesota Golden Gophers,Glen Mason,1997,Mitch Browning / Tony Petersen,David Lockwood,2006 Minnesota Golden Gophers football team,1363870589
2006,Mississippi State Bulldogs,Sylvester Croom,2004,Woody McCorvey,Ellis Johnson,2006 Mississippi State Bulldogs football team,1337604549
2006,Missouri Tigers,Gary Pinkel,2001,Dave Christensen,Matt Eberflus,2006 Missouri Tigers football team,1335917752
2006,NC State Wolfpack,Chuck Amato,2000,Marc Trestman,Steve Dunlap,2006 NC State Wolfpack football team,1339605832
2006,Navy Midshipmen,Paul Johnson,2002,,Buddy Green,2006 Navy Midshipmen football team,1339486850
2006,Nebraska Cornhuskers,Bill Callahan,2004,Jay Norvell,Kevin Cosgrove,2006 Nebraska Cornhuskers football team,1370159560
2006,Nevada Wolf Pack,Chris Ault,1985,Chris Klenakis,Tim DeRuyter / Barry Sacks,2006 Nevada Wolf Pack football team,1372716295
2006,New Mexico Lobos,Rocky Long,1998,Bob Toledo,Osia Lewis,2006 New Mexico Lobos football team,1330387047
2006,New Mexico State Aggies,Hal Mumme,2005,Gary Goff / Matt Mumme,Woody Widenhofer,2006 New Mexico State Aggies football team,1339605848
2006,North Carolina Tar Heels,John Bunting,2001,Frank Cignetti Jr.,Marvin Sanders,2006 North Carolina Tar Heels football team,1336647748
2006,North Texas Mean Green,Darrell Dickey,1998,Ramon Flanigan,Fred Bleil,2006 North Texas Mean Green football team,1339605867
2006,Northern Illinois Huskies,Joe Novak,1996,John Bond,Denny Doornbos,2006 Northern Illinois Huskies football team,1339451038
2006,Northwestern Wildcats,Pat Fitzgerald,2006,Garrick McGee,Greg Colby,2006 Northwestern Wildcats football team,1366334441
2006,Notre Dame Fighting Irish,Charlie Weis,2005,Michael Haywood,Rick Minter,2006 Notre Dame Fighting Irish football team,1369924439
2006,Ohio Bobcats,Frank Solich,2005,Tim Albin,Jim Burrow,2006 Ohio Bobcats football team,1339605889
2006,Ohio State Buckeyes,Jim Tressel,2001,Jim Bollman,Jim Heacock / Luke Fickell,2006 Ohio State Buckeyes football team,1369253714
2006,Oklahoma Sooners,Bob Stoops,1999,Kevin Wilson,Brent Venables,2006 Oklahoma Sooners football team,1372653139
2006,Oklahoma State Cowboys,Mike Gundy,2005,Larry Fedora,Vance Bedford,2006 Oklahoma State Cowboys football team,1367391775
2006,Ole Miss Rebels,Ed Orgeron,2005,Dan Werner,,2006 Ole Miss Rebels football team,1332815563
2006,Oregon Ducks,Mike Bellotti,1995,Gary Crowton,Nick Aliotti,2006 Oregon Ducks football team,1366185326
2006,Oregon State Beavers,Mike Riley,2001,Danny Langsdorf,Mark Banker,2006 Oregon State Beavers football team,1328281693
2006,Penn State Nittany Lions,Joe Paterno,1966,Galen Hall,Tom Bradley,2006 Penn State Nittany Lions football team,1374814506
2006,Pittsburgh Panthers,Dave Wannstedt,2005,Matt Cavanaugh,Paul Rhoads,2006 Pittsburgh Panthers football team,1339291395
2006,Purdue Boilermakers,Joe Tiller,1997,Bill Legg / Ed Zaunbrecher,Brock Spack,2006 Purdue Boilermakers football team,1368772434
2006,Rice Owls,Todd Graham,2006,Major Applewhite,Paul Randolph,2006 Rice Owls football team,1339605898
2006,Rutgers Scarlet Knights,Greg Schiano,2001,Craig Ver Steeg / John McNulty,,2006 Rutgers Scarlet Knights football team,1334038123
2006,SMU Mustangs,Phil Bennett,2002,Rusty Burns,Jim Gush,2006 SMU Mustangs football team,1339379143
2006,San Diego State Aztecs,Chuck Long,2006,Del Miller,Bob Elliott,2006 San Diego State Aztecs football team,1374099748
2006,San José State Spartans,Dick Tomey,2005,,Dave Fipp,2006 San Jose State Spartans football team,1330401044
2006,South Carolina Gamecocks,Steve Spurrier,2005,,Tyrone Nix,2006 South Carolina Gamecocks football team,1339605936
2006,South Florida Bulls,Jim Leavitt,1997,Rod Smith,Wally Burnham,2006 South Florida Bulls football team,1339605944
2006,Southern Miss Golden Eagles,Jeff Bower,1990,Jay Johnson,Jay Hopson,2006 Southern Miss Golden Eagles football team,1339605958
2006,Stanford Cardinal,Walt Harris,2005,,A. J. Christoff,2006 Stanford Cardinal football team,1366428355
2006,Syracuse Orange,Greg Robinson,2005,Brian White,,2006 Syracuse Orange football team,1370796687
2006,TCU Horned Frogs,Gary Patterson,2001,Mike Schultz,Dick Bumpas,2006 TCU Horned Frogs football team,1360396659
2006,Temple Owls,Al Golden,2006,George DeLeone,Mark D'Onofrio,2006 Temple Owls football team,1339605966
2006,Tennessee Volunteers,Phillip Fulmer,1993,David Cutcliffe,John Chavis,2006 Tennessee Volunteers football team,1373260943
2006,Texas A&M Aggies,Dennis Franchione,2003,Les Koenning,Gary Darnell,2006 Texas A&M Aggies football team,1339605986
2006,Texas Longhorns,Mack Brown,1998,Greg Davis,Gene Chizik / Duane Akina,2006 Texas Longhorns football team,1337681621
2006,Texas Tech Red Raiders,Mike Leach,2000,Sonny Dykes / Dana Holgorsen,Lyle Setencich,2006 Texas Tech Red Raiders football team,1369865182
2006,Toledo Rockets,Tom Amstutz,2001,John Shannon,Tim Rose,2006 Toledo Rockets football team,1339606014
2006,Troy Trojans,Larry Blakeney,1991,Tony Franklin,Jeremy Rowell,2006 Troy Trojans football team,1339606020
2006,Tulane Green Wave,Chris Scelfo,1999,Frank Scelfo,Eric Schumann,2006 Tulane Green Wave football team,1339606028
2006,Tulsa Golden Hurricane,Steve Kragthorpe,2003,Charlie Stubbs,Keith Patterson,2006 Tulsa Golden Hurricane football team,1339606035
2006,UAB Blazers,Watson Brown,1995,Pat Sullivan,Rick Christophel,2006 UAB Blazers football team,1339606040
2006,UCF Knights,George O'Leary,2004,Tim Salem,Lance Thompson,2006 UCF Golden Knights football team,1339606049
2006,UCLA Bruins,Karl Dorrell,2003,Jim Svoboda,DeWayne Walker,2006 UCLA Bruins football team,1375109476
2006,UConn Huskies,Randy Edsall,1999,Rob Ambrose,Todd Orlando,2006 Connecticut Huskies football team,1339605682
2006,UL Monroe Warhawks,Charlie Weatherbie,2003,Bob Leahy,Kim Dameron,2006 Louisiana–Monroe Warhawks football team,1339605776
2006,UNLV Rebels,Mike Sanford Sr.,2005,Noah Brindise,Vic Shealy,2006 UNLV Rebels football team,1339606073
2006,USC Trojans,Pete Carroll,2001,Lane Kiffin,Nick Holt,2006 USC Trojans football team,1365331837
2006,UTEP Miners,Mike Price,2004,Eric Price,Tim Hundley,2006 UTEP Miners football team,1339606085
2006,Utah State Aggies,Brent Guy,2005,Mike Santiago / Greg Stevens,Mark Johnson,2006 Utah State Aggies football team,1341086745
2006,Utah Utes,Kyle Whittingham,2005,Andy Ludwig,Gary Andersen,2006 Utah Utes football team,1367924549
2006,Vanderbilt Commodores,Bobby Johnson,2002,Ted Cain,Bruce Fowler,2006 Vanderbilt Commodores football team,1360538597
2006,Virginia Cavaliers,Al Groh,2001,Mike Groh,Mike London,2006 Virginia Cavaliers football team,1368415548
2006,Virginia Tech Hokies,Frank Beamer,1987,Bryan Stinespring,Bud Foster,2006 Virginia Tech Hokies football team,1363539945
2006,Wake Forest Demon Deacons,Jim Grobe,2001,Steed Lobotzke,Dean Hood,2006 Wake Forest Demon Deacons football team,1368813462
2006,Washington Huskies,Tyrone Willingham,2005,Tim Lappano,Kent Baer,2006 Washington Huskies football team,1339606131
2006,Washington State Cougars,Bill Doba,2003,Mike Levenseller,Robb Akey,2006 Washington State Cougars football team,1339606141
2006,West Virginia Mountaineers,Rich Rodriguez,2001,Calvin Magee,Jeff Casteel,2006 West Virginia Mountaineers football team,1368486310
2006,Western Michigan Broncos,Bill Cubit,2005,George McDonald,,2006 Western Michigan Broncos football team,1339606149
2006,Wisconsin Badgers,Bret Bielema,2006,Paul Chryst,Mike Hankwitz,2006 Wisconsin Badgers football team,1339606159
2006,Wyoming Cowboys,Joe Glenn,2003,Billy Cockhill,Mike Breske,2006 Wyoming Cowboys football team,1339027538
2007,Air Force Falcons,Troy Calhoun,2007,Clay Hendrix / Blane Morgan,Tim DeRuyter,2007 Air Force Falcons football team,1334673246
2007,Akron Zips,J. D. Brookhart,2004,Joe Moorhead,Jim Fleming,2007 Akron Zips football team,1339377116
2007,Alabama Crimson Tide,Nick Saban,2007,Major Applewhite,Kevin Steele,2007 Alabama Crimson Tide football team,1359200218
2007,Arizona State Sun Devils,Dennis Erickson,2007,Rich Olson,Craig Bray,2007 Arizona State Sun Devils football team,1342186940
2007,Arizona Wildcats,Mike Stoops,2004,Sonny Dykes,Mark Stoops,2007 Arizona Wildcats football team,1339129277
2007,Arkansas Razorbacks,Houston Nutt,1998,David Lee,Reggie Herring / Louis Campbell,2007 Arkansas Razorbacks football team,1361825609
2007,Arkansas State Red Wolves,Steve Roberts,2002,Doug Ruse,Kevin Corless / Jack Curtis,2007 Arkansas State Indians football team,1352503232
2007,Army Black Knights,Stan Brock,2007,Tim Walsh,John Mumford,2007 Army Black Knights football team,1339606207
2007,Auburn Tigers,Tommy Tuberville,1999,Al Borges / Tony Franklin,Will Muschamp,2007 Auburn Tigers football team,1369651496
2007,BYU Cougars,Bronco Mendenhall,2005,Robert Anae,,2007 BYU Cougars football team,1339133373
2007,Ball State Cardinals,Brady Hoke,2003,Stan Parrish,Mark Smith,2007 Ball State Cardinals football team,1339606217
2007,Baylor Bears,Guy Morriss,2003,Lee Hays,Larry Hoefer,2007 Baylor Bears football team,1360486910
2007,Boise State Broncos,Chris Petersen,2006,Bryan Harsin,Justin Wilcox,2007 Boise State Broncos football team,1366591541
2007,Boston College Eagles,Jeff Jagodzinski,2007,Steve Logan,Frank Spaziani,2007 Boston College Eagles football team,1334837579
2007,Bowling Green Falcons,Gregg Brandon,2003,Mick McCall,Mike Ward,2007 Bowling Green Falcons football team,1363048275
2007,Buffalo Bulls,Turner Gill,2006,Gerald Carr,,2007 Buffalo Bulls football team,1339606234
2007,California Golden Bears,Jeff Tedford,2002,Jim Michalczik,Bob Gregory,2007 California Golden Bears football team,1336313044
2007,Central Michigan Chippewas,Butch Jones,2007,Mike Bajakian,Tim Banks,2007 Central Michigan Chippewas football team,1339606241
2007,Cincinnati Bearcats,Brian Kelly,2007,Jeff Quinn,Joe Tresey,2007 Cincinnati Bearcats football team,1367456627
2007,Clemson Tigers,Tommy Bowden,1999,Rob Spence,Vic Koenning,2007 Clemson Tigers football team,1369498952
2007,Colorado Buffaloes,Dan Hawkins,2006,Mark Helfrich,Ron Collins,2007 Colorado Buffaloes football team,1361724886
2007,Colorado State Rams,Sonny Lubick,1993,Dan Hammerschmidt / Dave Lay,Steve Stanard,2007 Colorado State Rams football team,1330375606
2007,Duke Blue Devils,Ted Roof,2004,Peter Vaas,Scott Brown,2007 Duke Blue Devils football team,1338060321
2007,East Carolina Pirates,Skip Holtz,2005,Steve Shankweiler / Todd Fitch,Greg Hudson,2007 East Carolina Pirates football team,1339606318
2007,Eastern Michigan Eagles,Jeff Genyk,2004,Scott Isphording,,2007 Eastern Michigan Eagles football team,1357968572
2007,Florida Atlantic Owls,Howard Schnellenberger,2001,Gary Nord,Kirk Hoza,2007 Florida Atlantic Owls football team,1363000946
2007,Florida Gators,Urban Meyer,2005,Dan Mullen,Greg Mattison / Charlie Strong,2007 Florida Gators football team,1339606403
2007,Florida International Panthers,Mario Cristobal,2007,James Coley,Phil Galiano,2007 FIU Golden Panthers football team,1371533468
2007,Florida State Seminoles,Bobby Bowden,1976,Jimbo Fisher,Mickey Andrews,2007 Florida State Seminoles football team,1368930477
2007,Fresno State Bulldogs,Pat Hill,1997,Jim McElwain,Dan Brown,2007 Fresno State Bulldogs football team,1360585330
2007,Georgia Bulldogs,Mark Richt,2001,Mike Bobo,Willie Martinez,2007 Georgia Bulldogs football team,1373947129
2007,Georgia Tech Yellow Jackets,Chan Gailey,2002,John Bond,Jon Tenuta,2007 Georgia Tech Yellow Jackets football team,1368927980
2007,Hawai'i Rainbow Warriors,June Jones,1999,,Greg McMackin,2007 Hawaii Warriors football team,1354072456
2007,Houston Cougars,Art Briles,2003,Randy Clements / Philip Montgomery,Alan Weddell,2007 Houston Cougars football team,1360484927
2007,Illinois Fighting Illini,Ron Zook,2005,Mike Locksley,Dan Disch / Curt Mallory,2007 Illinois Fighting Illini football team,1344850903
2007,Indiana Hoosiers,Bill Lynch,2007,Matt Canada,Brian George / Joe Palcic,2007 Indiana Hoosiers football team,1338059650
2007,Iowa Hawkeyes,Kirk Ferentz,1999,Ken O'Keefe,Norm Parker,2007 Iowa Hawkeyes football team,1345370573
2007,Iowa State Cyclones,Gene Chizik,2007,Robert McFarland,Wayne Bolt,2007 Iowa State Cyclones football team,1339455243
2007,Kansas Jayhawks,Mark Mangino,2002,Ed Warinner,Clint Bowen / Bill Young,2007 Kansas Jayhawks football team,1370115951
2007,Kansas State Wildcats,Ron Prince,2006,James Franklin,Tim Tibesar,2007 Kansas State Wildcats football team,1357968534
2007,Kent State Golden Flashes,Doug Martin,2004,,Pete Rekstis,2007 Kent State Golden Flashes football team,1348135101
2007,Kentucky Wildcats,Rich Brooks,2003,Joker Phillips,Steve Brown,2007 Kentucky Wildcats football team,1371608495
2007,LSU Tigers,Les Miles,2005,Gary Crowton,Bo Pelini,2007 LSU Tigers football team,1367377976
